id,text
1,"Belief in yourself has to be earned."
2,"The three lessons: 1) Effortless is a myth 2) It is only a point 3) Life is bigger than the court. Thanks Roger!"
3,"Fascinating that he won about 80% of all singles matches he played but only 54% of the total points played. Those key points are vital."
4,"This speech took 20 years of hard work."
5,"This great champion has no shame showing his heart and tears when touched. He’s a wonderful role model for boys and men, not just for his tennis."
6,"Never have I seen a billionaire who just doesn't seem like it at all. It's why he was voted most popular player every single year he played."
7,"Negative energy is wasted energy. Become a master of overcoming bad moments. That is the sign of a champion."
8,"The crowd loved the speech. It truly was a memorable speech, and I will never forget that I was there. Awesome experience."
9,"Anyone annoyed with the noise that’s in the background?"
10,"At 83 years old and having listened to hundreds of commencement addresses, this gentleman has spoken clearly and well."
11,"Effortless is a myth. Work very hard to make it look easy. Life is much bigger than the tennis court."
12,"That was heartfelt. He choked in the end. Thank you."
13,"He is a role model the younger generations need and he is leaving his mark."
14,"Such a humble man. That’s why he is the greatest, the real GOAT."
15,"He is a wonderful human being. Thank you Roger."
16,"Why am I in tears? This man is just a real human. He’s such a kind person."
17,"What an honor to have Roger Federer speak at any commencement service. Such a class act."
